lyric,album_title,year,track_title,track_number,lyric_normalized,lyric_nostop,lyric_lemma
Lay on a field of green with mother Eve,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,lay on a field of green with mother eve,lay field green mother eve,lay field green mother eve
With father pine reaching high,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,with father pine reaching high,father pine reaching high,father pine reach high
Look at yourself in the eyes of aye-aye,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,look at yourself in the eyes of aye aye,look eyes aye aye,look eye aye aye
Unfolding rendezvous,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,unfolding rendezvous,unfolding rendezvous,unfold rendezvous
Deep into the past,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,deep into the past,deep past,deep past
Follow the aeon path,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,follow the aeon path,follow aeon path,follow aeon path
Greet a blade of grass,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,greet a blade of grass,greet blade grass,greet blade grass
Every endless form most beautiful,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,every endless form most beautiful,endless form beautiful,endless form beautiful
"Alive, aware, in awe",Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,alive aware in awe,alive aware awe,alive aware awe
Before the grandeur of it all,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,before the grandeur of it all,grandeur,grandeur
Our floating pale blue ark,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,our floating pale blue ark,floating pale blue ark,float pale blue ark
Of endless forms most beautiful,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,of endless forms most beautiful,endless forms beautiful,endless form beautiful
Beyond aeons we take a ride,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,beyond aeons we take a ride,aeons ride,aeon ride
Welcoming the shrew that survived,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,welcoming the shrew that survived,welcoming shrew survived,welcome shrew survive
To see the Tiktaalik,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,to see the tiktaalik,tiktaalik,tiktaalik
Take her first walk; witness the birth of flight,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,take her first walk witness the birth of flight,walk witness birth flight,walk witness birth flight
Deeper down in Panthalassa,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,deeper down in panthalassa,deeper panthalassa,deep panthalassa
A eukaryote finds her way,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,a eukaryotes finds her way,eukaryotes finds way,eukaryote find way
We return to the very first one,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,we return to the very first one,return,return
Greet the one we’ll soon become,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,greet the one well soon become,greet soon,greet soon
Lay on a field of green with mother Eve,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,lay on a field of green with mother eve,lay field green mother eve,lay field green mother eve
With father by reaching high,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,with father by reaching high,father reaching high,father reach high
Look at yourself in the eyes of aye-aye,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,look at yourself in the eyes of aye aye,look eyes aye aye,look eye aye aye
Unfolding rendezvous,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,unfolding rendezvous,unfolding rendezvous,unfold rendezvous
Deep into the past,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,deep into the past,deep past,deep past
Follow the eon path,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,follow the eon path,follow eon path,follow eon path
Greet a blade of grass,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,greet a blade of grass,greet blade grass,greet blade grass
Every endless form most beautiful,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,every endless form most beautiful,endless form beautiful,endless form beautiful
"Alive, aware, in awe",Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,alive aware in awe,alive aware awe,alive aware awe
Before the grandeur of it all,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,before the grandeur of it all,grandeur,grandeur
Our floating pale blue ark,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,our floating pale blue ark,floating pale blue ark,float pale blue ark
Of endless forms most beautiful,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,of endless forms most beautiful,endless forms beautiful,endless form beautiful
Deep into the past,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,deep into the past,deep past,deep past
Follow the eon path,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,follow the eon path,follow eon path,follow eon path
Greet a blade of grass,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,greet a blade of grass,greet blade grass,greet blade grass
Every endless form most beautiful,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,every endless form most beautiful,endless form beautiful,endless form beautiful
"Alive, aware, in awe",Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,alive aware in awe,alive aware awe,alive aware awe
Before the grandeur of it all,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,before the grandeur of it all,grandeur,grandeur
Our floating pale blue ark,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,our floating pale blue ark,floating pale blue ark,float pale blue ark
Of endless forms most beautiful,Endless Forms Most Beautiful,2015,Endless Forms Most Beautiful,7,of endless forms most beautiful,endless forms beautiful,endless form beautiful
One by one we light the candles of this show,Endless Forms Most Beautiful,2015,Edema Ruh,8,one by one we light the candles of this show,light candles,light candle
"One by one, enter the theatre of the primal birth",Endless Forms Most Beautiful,2015,Edema Ruh,8,one by one enter the theatre of the primal birth,enter theatre primal birth,enter theatre primal birth
Silently watch the planetary curtain go down,Endless Forms Most Beautiful,2015,Edema Ruh,8,silently watch the planetary curtain go down,silently watch planetary curtain,silently watch planetary curtain
"Laugh and rejoice, as the powerful play greets you tonight",Endless Forms Most Beautiful,2015,Edema Ruh,8,laugh and rejoice as the powerful play greets you tonight,laugh rejoice powerful play greets tonight,laugh rejoice powerful play greet tonight
We are the Edema Ruh,Endless Forms Most Beautiful,2015,Edema Ruh,8,we are the edema run,edema run,edema run
We know the songs the sirens sang,Endless Forms Most Beautiful,2015,Edema Ruh,8,we know the songs the sirens sang,know songs sirens sang,know song siren sing
See us dream every tale true,Endless Forms Most Beautiful,2015,Edema Ruh,8,see us dream every tale true,dream tale true,dream tale true
The verse we leave with you will take you home,Endless Forms Most Beautiful,2015,Edema Ruh,8,the verse we leave with you will take you home,verse leave home,verse leave home
We’ll give you a key to open all of the gates,Endless Forms Most Beautiful,2015,Edema Ruh,8,well give you a key to open all of the gates,key open gates,key open gate
We’ll show you a sea of starlight to drown all your cares,Endless Forms Most Beautiful,2015,Edema Ruh,8,well show you a sea of starlight to drown all your cares,sea starlight drown cares,sea starlight drown care
"Mirrorhouses, the sweetest kisses and wines",Endless Forms Most Beautiful,2015,Edema Ruh,8,mirrorhouses the sweetest kisses and wines,mirrorhouses sweetest kisses wines,mirrorhouses sweet kiss wine
A Debussy dialogue between wind and the roaring sea,Endless Forms Most Beautiful,2015,Edema Ruh,8,a debussy dialogue between wind and the roaring sea,debussy dialogue wind roaring sea,debussy dialogue wind roar sea
Dance to the whistle to the play to the story,Endless Forms Most Beautiful,2015,Edema Ruh,8,dance to the whistle to the play to the story,dance whistle play story,dance whistle play story
To infinite encores,Endless Forms Most Beautiful,2015,Edema Ruh,8,to infinite encores,infinite encores,infinite encore
Laugh at the royalty with sad crowns,Endless Forms Most Beautiful,2015,Edema Ruh,8,laugh at the royalty with sad crowns,laugh royalty sad crowns,laugh royalty sad crown
And repeat the chorus once more,Endless Forms Most Beautiful,2015,Edema Ruh,8,and repeat the chorus once more,repeat chorus,repeat chorus
Once upon a time a song was heard,Endless Forms Most Beautiful,2015,Alpenglow,9,once upon a time a song was heard,time song heard,time song hear
Giving birth to a child of Earth and verse,Endless Forms Most Beautiful,2015,Alpenglow,9,giving birth to a child of earth and verse,giving birth child earth verse,give birth child earth verse
Together we slay another fright,Endless Forms Most Beautiful,2015,Alpenglow,9,together we slay another fright,slay fright,slay fright
"Every Jubjub bird, spooks of the past",Endless Forms Most Beautiful,2015,Alpenglow,9,every hubbub bird spooks of the past,hubbub bird spooks past,hubbub bird spook past
Close your eyes and take a peek,Endless Forms Most Beautiful,2015,Alpenglow,9,close your eyes and take a peek,close eyes peek,close eye peek
The truth is easy to see,Endless Forms Most Beautiful,2015,Alpenglow,9,the truth is easy to see,truth easy,truth easy
"We were here, roaming on the endless prairie",Endless Forms Most Beautiful,2015,Alpenglow,9,we were here roaming on the endless prairie,roaming endless prairie,roam endless prairie
Writing an endless story,Endless Forms Most Beautiful,2015,Alpenglow,9,writing an endless story,writing endless story,write endless story
Building a Walden of our own,Endless Forms Most Beautiful,2015,Alpenglow,9,building a walden of our own,building walden,building walden
"We were here, grieving the saddened faces",Endless Forms Most Beautiful,2015,Alpenglow,9,we were here grieving the saddened faces,grieving saddened faces,grieve sadden face
Conquering the darkest places,Endless Forms Most Beautiful,2015,Alpenglow,9,conquering the darkest places,conquering darkest places,conquer dark place
"Time to rest now, and to finish the show",Endless Forms Most Beautiful,2015,Alpenglow,9,time to rest now and to finish the show,time rest finish,time rest finish
"And become the music, one with alpenglow",Endless Forms Most Beautiful,2015,Alpenglow,9,and become the music one with alpenglow,music alpenglow,music alpenglow
Hand in hand guiding me into light,Endless Forms Most Beautiful,2015,Alpenglow,9,hand in hand guiding me into light,hand hand guiding light,hand hand guide light
"You, the fairy tale guise in blue and white",Endless Forms Most Beautiful,2015,Alpenglow,9,you the fairy tale guise in blue and white,fairy tale guise blue white,fairy tale guise blue white
Together we slay another fright,Endless Forms Most Beautiful,2015,Alpenglow,9,together we slay another fright,slay fright,slay fright
Every Jub-jub birds moves soft and fast,Endless Forms Most Beautiful,2015,Alpenglow,9,every job job birds moves soft and fast,job job birds moves soft fast,job job bird move soft fast
Close your eyes and take a peek,Endless Forms Most Beautiful,2015,Alpenglow,9,close your eyes and take a peek,close eyes peek,close eye peek
The truth is easy to see,Endless Forms Most Beautiful,2015,Alpenglow,9,the truth is easy to see,truth easy,truth easy
We were here...,Endless Forms Most Beautiful,2015,Alpenglow,9,we were here,,
"We were here, roaming on the endless prairie",Endless Forms Most Beautiful,2015,Alpenglow,9,we were here roaming on the endless prairie,roaming endless prairie,roam endless prairie
Writing an endless story,Endless Forms Most Beautiful,2015,Alpenglow,9,writing an endless story,writing endless story,write endless story
Building a Walden of our own,Endless Forms Most Beautiful,2015,Alpenglow,9,building a walden of our own,building walden,building walden
"We were here, grieving the saddened faces",Endless Forms Most Beautiful,2015,Alpenglow,9,we were here grieving the saddened faces,grieving saddened faces,grieve sadden face
Conquering the darkest places,Endless Forms Most Beautiful,2015,Alpenglow,9,conquering the darkest places,conquering darkest places,conquer dark place
"Time to rest now, and to finish the show",Endless Forms Most Beautiful,2015,Alpenglow,9,time to rest now and to finish the show,time rest finish,time rest finish
"And become the music, one with alpenglow",Endless Forms Most Beautiful,2015,Alpenglow,9,and become the music one with alpenglow,music alpenglow,music alpenglow
"You are my path, my home, my star",Endless Forms Most Beautiful,2015,Alpenglow,9,you are my path my home my star,path home star,path home star
A beautiful tale within the tale,Endless Forms Most Beautiful,2015,Alpenglow,9,a beautiful tale within the tale,beautiful tale tale,beautiful tale tale
And when the dust needs to move on,Endless Forms Most Beautiful,2015,Alpenglow,9,and when the dust needs to move on,dust needs,dust need
I will tuck us in on a bed of snow,Endless Forms Most Beautiful,2015,Alpenglow,9,i will tuck us in on a bed of snow,tuck bed snow,tuck bed snow
"Painting white, silencing the valley we built",Endless Forms Most Beautiful,2015,Alpenglow,9,painting white silencing the valley we built,painting white silencing valley built,paint white silence valley build
"Together we'll sleep, devoured by life",Endless Forms Most Beautiful,2015,Alpenglow,9,together we will sleep devoured by life,sleep devoured life,sleep devour life
"We were here, roaming the endless prairie",Endless Forms Most Beautiful,2015,Alpenglow,9,we were here roaming the endless prairie,roaming endless prairie,roam endless prairie
Writing an endless story,Endless Forms Most Beautiful,2015,Alpenglow,9,writing an endless story,writing endless story,write endless story
Building a Walden of our own,Endless Forms Most Beautiful,2015,Alpenglow,9,building a walden of our own,building walden,building walden
"We were here, grieving the saddened faces",Endless Forms Most Beautiful,2015,Alpenglow,9,we were here grieving the saddened faces,grieving saddened faces,grieve sadden face
Conquering the darkest places,Endless Forms Most Beautiful,2015,Alpenglow,9,conquering the darkest places,conquering darkest places,conquer dark place
"Time to rest now, and to finish the show",Endless Forms Most Beautiful,2015,Alpenglow,9,time to rest now and to finish the show,time rest finish,time rest finish
"And become the music, one with alpenglow",Endless Forms Most Beautiful,2015,Alpenglow,9,and become the music one with alpenglow,music alpenglow,music alpenglow
"We were here, roaming on the endless prairie",Endless Forms Most Beautiful,2015,Alpenglow,9,we were here roaming on the endless prairie,roaming endless prairie,roam endless prairie
Writing an endless story,Endless Forms Most Beautiful,2015,Alpenglow,9,writing an endless story,writing endless story,write endless story
Building a Walden of our own,Endless Forms Most Beautiful,2015,Alpenglow,9,building a walden of our own,building walden,building walden
"We were here, grieving the saddened faces",Endless Forms Most Beautiful,2015,Alpenglow,9,we were here grieving the saddened faces,grieving saddened faces,grieve sadden face
Conquering the darkest places,Endless Forms Most Beautiful,2015,Alpenglow,9,conquering the darkest places,conquering darkest places,conquer dark place
"Time to rest now, and to finish the show",Endless Forms Most Beautiful,2015,Alpenglow,9,time to rest now and to finish the show,time rest finish,time rest finish
"And become the music, one with alpenglow",Endless Forms Most Beautiful,2015,Alpenglow,9,and become the music one with alpenglow,music alpenglow,music alpenglow
Archaean horizon,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,archaean horizon,archaean horizon,archaean horizon
The first sunrise,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,the first sunrise,sunrise,sunrise
On a pristine Gaea,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,on a pristine aea,pristine aea,pristine aea
Opus perfectum,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,opus perfect,opus perfect,opus perfect
Somewhere there,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,somewhere there,,
Us sleeping,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,us sleeping,sleeping,sleep
"""After sleeping through a hundred million centuries we have finally opened our eyes on a sumptuous planet, sparkling with color, bountiful with life. Within decades we must close our eyes again. Isn't it a noble, an enlightened way of spending our brief time in the sun, to work at understanding the universe and how we have come to wake up in it?""",Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,after sleeping through a hundred million centuries we have finally opened our eyes on a sumptuous planet sparkling with color bountiful with life within decades we must close our eyes again is not it a noble an enlightened way of spending our brief time in the sun to work at understanding the universe and how we have come to wake up in it,sleeping million centuries finally opened eyes sumptuous planet sparkling color bountiful life decades close eyes noble enlightened way spending brief time sun work understanding universe come wake,sleep million century finally open eye sumptuous planet sparkle color bountiful life decade close eye noble enlightened way spending brief time sun work understanding universe come wake
The cosmic law of gravity,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,the cosmic law of gravity,cosmic law gravity,cosmic law gravity
Pulled the newborns around a fire,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,pulled the newborns around a fire,pulled newborns fire,pull newborn fire
"A careless, cold infinity in every vast direction",Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,a careless cold infinity in every vast direction,careless cold infinity vast direction,careless cold infinity vast direction
Lonely farer in the Goldilocks zone,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,lonely farmer in the goldilocks zone,lonely farmer goldilocks zone,lonely farmer goldilocks zone
She has a tale to tell,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,she has a tale to tell,tale tell,tale tell
From the stellar nursery into a carbon feast,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,from the stellar nursery into a carbon feast,stellar nursery carbon feast,stellar nursery carbon feast
Enter LUCA,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,enter luca,enter luca,enter luca
The tapestry of chemistry,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,the tapestry of chemistry,tapestry chemistry,tapestry chemistry
There is a writing in the garden,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,there is a writing in the garden,writing garden,write garden
Leading us to the mother of all,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,leading us to the mother of all,leading mother,lead mother
We are one,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,we are one,,
We are a universe,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,we are a universe,universe,universe
Forbears of what will be,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,forbears of what will be,forbears,forbear
Scions of the Devonian sea,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,scions of the devonian sea,scions devonian sea,scions devonian sea
Aeons pass,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,aeons pass,aeons pass,aeon pass
writing the tale of us all,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,writing the tale of us all,writing tale,write tale
A day-to-day new opening,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,a day to day new opening,day day new opening,day day new opening
For the greatest show on Earth,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,for the greatest show on earth,greatest earth,great earth
Ion channels welcoming the outside world,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,ion channels welcoming the outside world,ion channels welcoming outside world,ion channel welcome outside world
to the stuff of stars,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,to the stuff of stars,stuff stars,stuff star
Bedding the tree of a biological holy,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,bedding the tree of a biological holy,bedding tree biological holy,bedding tree biological holy
Enter life,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,enter life,enter life,enter life
The tapestry of chemistry,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,the tapestry of chemistry,tapestry chemistry,tapestry chemistry
There is a writing in the garden,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,there is a writing in the garden,writing garden,write garden
Leading us to the mother of all,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,leading us to the mother of all,leading mother,lead mother
We are one,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,we are one,,
We are a universe,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,we are a universe,universe,universe
Forbears of what will be,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,forbears of what will be,forbears,forbear
Scions of the Devonian sea,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,scions of the devonian sea,scions devonian sea,scions devonian sea
Aeons pass,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,aeons pass,aeons pass,aeon pass
Writing the tale of us all,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,writing the tale of us all,writing tale,write tale
A day-to-day new opening,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,a day to day new opening,day day new opening,day day new opening
For the greatest show on Earth,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,for the greatest show on earth,greatest earth,great earth
We are one,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,we are one,,
We are a universe,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,we are a universe,universe,universe
Forbears in what will be,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,forbears in what will be,forbears,forbear
Scions of the Devonian sea,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,scions of the devonian sea,scions devonian sea,scions devonian sea
Aeons pass,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,aeons pass,aeons pass,aeon pass
writing the tale of us all,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,writing the tale of us all,writing tale,write tale
A day-to-day new opening,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,a day to day new opening,day day new opening,day day new opening
For the greatest show on Earth,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,for the greatest show on earth,greatest earth,great earth
We are here to care for the garden,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,we are here to care for the garden,care garden,care garden
The wonder of birth,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,the wonder of birth,wonder birth,wonder birth
Of every form most beautiful,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,of every form most beautiful,form beautiful,form beautiful
After a billion years,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,after a billion years,billion years,billion year
The show is still here,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,the show is still here,,
Not a single one of your fathers died young,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,not a single one of your fathers died young,single fathers died young,single father die young
The handy travelers,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,the handy travellers,handy travellers,handy traveller
out of Africa,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,out of africa,africa,africa
Little Lucy of the afar,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,little lucy of the afar,little lucy afar,little lucy afar
Gave birth to fantasy,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,gave birth to fantasy,gave birth fantasy,give birth fantasy
To idolatry,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,to idolatry,idolatry,idolatry
To self-destructive weaponry,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,to self destructive weaponry,self destructive weaponry,self destructive weaponry
Enter the god of gaps,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,enter the god of gaps,enter god gaps,enter god gap
Deep within the past,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,deep within the past,deep past,deep past
Atavistic dread of the hunter,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,atavistic dread of the hunter,atavistic dread hunter,atavistic dread hunter
"Enter Ionia, the cradle of thought",Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,enter ionia the cradle of thought,enter ionia cradle thought,enter ionia cradle think
The architecture of understanding,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,the architecture of understanding,architecture understanding,architecture understanding
The human lust to feel so exceptional,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,the human lust to feel so exceptional,human lust feel exceptional,human lust feel exceptional
To rule the Earth,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,to rule the earth,rule earth,rule earth
Hunger for shiny rocks,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,hunger for shiny rocks,hunger shiny rocks,hunger shiny rock
For giant mushroom clouds,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,for giant mushroom clouds,giant mushroom clouds,giant mushroom cloud
The will to do just as you'd be done by,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,the will to do just as you would be done by,,
"Enter history, the grand finale",Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,enter history the grand finale,enter history grand finale,enter history grand finale
Enter Ratkind,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,enter rating,enter rating,enter rating
"Man, he took his time in the sun",Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,man he took his time in the sun,man took time sun,man take time sun
Had a dream to understand,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,had a dream to understand,dream understand,dream understand
A single grain of sand,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,a single grain of sand,single grain sand,single grain sand
He gave birth to poetry,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,he gave birth to poetry,gave birth poetry,give birth poetry
But one day'll cease to be,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,but one day ll cease to be,day ll cease,day will cease
Greet the last light of the library,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,greet the last light of the library,greet light library,greet light library
We were here,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,we were here,,
We were here,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,we were here,,
We were here,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,we were here,,
We were here,Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,we were here,,
"""We are going to die, and that makes us the lucky ones. Most people are never going to die because they are never going to be born. The potential people who could have been here in my place but who will in fact never see the light of day outnumber the sand grains of Sahara. Certainly those unborn ghosts include greater poets than Keats, scientists greater than Newton. We know this because the set of possible people allowed by our DNA so massively exceeds the set of actual people. In the teeth of those stupefying odds it is you and I, in our ordinariness, that are here. We privileged few, who won the lottery of birth against all odds, how dare we whine at our inevitable return to that prior state from which the vast majority have never stirred?""",Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,we are going to die and that makes us the lucky ones most people are never going to die because they are never going to be born the potential people who could have been here in my place but who will in fact never see the light of day outnumber the sand grains of sahara certainly those unborn ghosts include greater poets than keats scientists greater than newton we know this because the set of possible people allowed by our dna so massively exceeds the set of actual people in the teeth of those stupefyingly odds it is you and i in our ordinariness that are here we privileged few who won the lottery of birth against all odds how dare we whine at our inevitable return to that prior state from which the vast majority have never stirred,going die makes lucky ones people going die going born potential people place fact light day outnumber sand grains sahara certainly unborn ghosts include greater poets keats scientists greater newton know set possible people allowed dna massively exceeds set actual people teeth stupefyingly odds ordinariness privileged won lottery birth odds dare whine inevitable return prior state vast majority stirred,go die make lucky one people go die go bear potential people place fact light day outnumber sand grain sahara certainly unborn ghost include great poet keats scientist great newton know set possible people allow dna massively exceed set actual people teeth stupefyingly odd ordinariness privilege win lottery birth odd dare whine inevitable return prior state vast majority stir
"""There is grandeur in this view of life, with its several powers, having been originally breathed into a few forms or into one; and that whilst this planet has gone cycling on according to the fixed law of gravity, from so simple a beginning endless forms most beautiful and most wonderful have been, and are being, evolved.""",Endless Forms Most Beautiful,2015,The Greatest Show On Earth,11,there is grandeur in this view of life with its several powers having been originally breathed into a few forms or into one and that whilst this planet has gone cycling on according to the fixed law of gravity from so simple a beginning endless forms most beautiful and most wonderful have been and are being evolved,grandeur view life powers having originally breathed forms whilst planet gone cycling according fixed law gravity simple beginning endless forms beautiful wonderful evolved,grandeur view life power have originally breathe form whilst planet go cycling accord fixed law gravity simple begin endless form beautiful wonderful evolve
Crave the machine,Hvman. :||: Natvre.,2020,Noise,2,crave the machine,crave machine,crave machine
Revere the screen,Hvman. :||: Natvre.,2020,Noise,2,revere the screen,revere screen,revere screen
Zoom in for flak and misery,Hvman. :||: Natvre.,2020,Noise,2,zoom in for flak and misery,zoom flak misery,zoom flak misery
Bleed some pixels,Hvman. :||: Natvre.,2020,Noise,2,bleed some pixels,bleed pixels,bleed pixel
Shoot yourself,Hvman. :||: Natvre.,2020,Noise,2,shoot yourself,shoot,shoot
Pose for the dead,Hvman. :||: Natvre.,2020,Noise,2,pose for the dead,pose dead,pose dead
Have a near-life experience,Hvman. :||: Natvre.,2020,Noise,2,have a near life experience,near life experience,near life experience
In a hot air matrix,Hvman. :||: Natvre.,2020,Noise,2,in a hot air matrix,hot air matrix,hot air matrix
Now you're a star,Hvman. :||: Natvre.,2020,Noise,2,now you are a star,star,star
Vain avatar,Hvman. :||: Natvre.,2020,Noise,2,vain avtar,vain avtar,vain avtar
Feeding the beast,Hvman. :||: Natvre.,2020,Noise,2,feeding the beast,feeding beast,feed beast
In your loud Egoland,Hvman. :||: Natvre.,2020,Noise,2,in your loud legoland,loud legoland,loud legoland
You have become,Hvman. :||: Natvre.,2020,Noise,2,you have become,,
Tool of a tool,Hvman. :||: Natvre.,2020,Noise,2,tool of a tool,tool tool,tool tool
Digital ghouls,Hvman. :||: Natvre.,2020,Noise,2,digital ghouls,digital ghouls,digital ghoul
Telling you to,Hvman. :||: Natvre.,2020,Noise,2,telling you to,telling,tell
